store_id,product_id,forecast_7d,forecast_7d_lower,forecast_7d_upper,forecast_14d,forecast_14d_lower,forecast_14d_upper,forecast_30d,forecast_30d_lower,forecast_30d_upper,forecast_60d,forecast_60d_lower,forecast_60d_upper,forecast_acceleration,forecast_confidence_30d,is_trending_up,is_trending_down,is_stable
store_CR,COMMON00039,71.3,10.1,135.4,140.2,18.8,268.5,290.3,35.8,567.1,536.8,57.0,1092.3,1.0418391700355558,1.8295454545454546,0,0,1
store_CS,COMMON00039,9.4,0.3,19.8,18.7,0.5,39.8,39.6,0.9,84.7,77.9,1.0,167.7,0.9456740442655935,2.110831234256927,0,0,1
store_CT,COMMON00039,72.5,16.9,130.4,145.1,34.9,259.3,312.5,73.2,555.6,628.7,146.3,1112.0,0.9848313334842654,1.5431861804222649,0,0,1
store_AA,COMMON00017,350.3,114.8,593.2,693.9,222.2,1176.7,1457.1,441.0,2482.4,2804.1,773.0,4853.2,1.0282074613284804,1.4009058468295363,0,0,1
store_AB,COMMON00017,221.0,61.2,379.7,437.0,120.3,751.2,919.0,238.5,1590.7,1744.8,388.9,3089.1,1.0272699101332508,1.4712218474594712,0,0,1
store_AC,COMMON00017,90.6,37.3,146.4,182.4,74.6,294.5,395.1,163.7,632.5,817.9,351.8,1289.5,0.9753471848422864,1.1862348178137652,0,0,1
store_AD,COMMON00017,311.2,91.3,544.7,621.8,171.0,1083.6,1330.4,348.3,2315.2,2655.5,702.1,4616.8,1.000235702500589,1.4783164223975949,0,0,1
store_AE,COMMON00017,443.4,150.8,730.4,878.6,305.2,1453.1,1841.6,603.1,3087.7,3543.7,1079.8,6017.2,1.0301885038955407,1.349079654666884,0,0,1
store_AF,COMMON00017,44.5,4.7,87.8,89.2,8.2,175.4,192.6,18.5,374.8,389.5,37.4,753.4,0.9750219106047326,1.8489880643487289,0,0,1
store_AG,COMMON00017,268.6,102.7,442.5,533.1,190.0,883.0,1128.2,384.5,1880.3,2182.8,675.6,3687.3,1.0176298242069104,1.3257112470087742,0,0,1
store_AH,COMMON00017,517.3,175.6,860.5,1032.5,348.9,1733.4,2204.5,729.6,3687.5,4389.7,1414.5,7381.1,1.0043035107587768,1.3416946384831716,0,0,1
store_AI,COMMON00017,561.5,73.7,1067.3,1098.4,145.6,2106.8,2229.5,232.7,4411.8,4044.1,328.4,8409.1,1.077907534794433,1.8743720846788665,0,0,1
store_AJ,COMMON00017,357.2,146.0,568.6,712.9,292.5,1133.6,1522.2,617.5,2427.1,3031.4,1205.3,4836.5,1.003709115432168,1.188727583262169,0,0,1
store_BA,COMMON00017,9.6,0.2,20.6,19.2,0.3,40.6,41.2,0.4,86.5,81.4,0.6,172.1,0.9308338720103424,2.084745762711864,0,0,1
store_BB,COMMON00017,108.5,9.3,222.2,214.1,16.0,437.9,445.0,27.0,928.0,844.5,49.2,1807.9,1.0379464285714286,2.0242642102898225,0,0,1
store_BC,COMMON00017,53.7,7.9,99.2,107.9,16.5,198.9,234.1,38.0,430.5,477.1,87.1,869.7,0.9706573477134424,1.6759180187873612,0,0,1
store_BD,COMMON00017,39.8,2.5,80.2,80.1,5.3,162.1,173.7,10.1,350.4,358.5,27.3,711.7,0.9653165170991995,1.9579976985040275,0,0,1
store_BE,COMMON00017,371.9,53.0,704.8,741.5,100.2,1407.4,1579.5,199.9,2999.2,3137.3,382.6,5982.7,1.0071767095463777,1.7721575082299315,0,0,1
store_BF,COMMON00017,164.4,35.0,291.1,327.8,69.0,580.5,698.1,151.4,1238.0,1385.3,289.9,2473.1,1.0049514028974877,1.5562875966771696,0,0,1
store_BG,COMMON00017,12.8,0.3,26.8,25.6,0.6,53.3,54.7,0.7,114.6,109.3,1.5,228.8,0.9507303788066352,2.078467153284671,0,0,1
store_BH,COMMON00017,90.9,23.0,160.6,180.7,43.8,319.4,382.0,84.2,679.1,750.1,153.5,1343.7,1.0118738404452692,1.5569222716566342,0,0,1
store_BI,COMMON00017,269.3,63.1,476.8,533.2,118.8,947.3,1117.7,232.0,1995.8,2148.8,400.0,3906.2,1.0298410432255352,1.5779209160851673,0,0,1
store_BJ,COMMON00017,62.3,15.2,109.4,124.9,30.6,218.7,271.0,70.5,469.4,547.0,146.8,946.4,0.9744525547445256,1.4714127628181481,0,0,1
store_BK,COMMON00017,396.9,95.7,699.8,782.3,182.3,1385.8,1628.0,353.5,2928.7,3049.1,527.0,5648.5,1.0429184549356223,1.581721024507094,0,0,1
store_BL,COMMON00017,59.1,7.4,111.2,118.0,16.2,221.9,253.9,35.9,478.9,504.2,66.4,951.2,0.9859311572040261,1.7440944881889764,0,0,1
store_BM,COMMON00017,34.5,3.8,65.9,69.1,8.4,131.8,148.6,18.7,282.9,299.6,39.5,569.8,0.9753109687146628,1.7767316745124413,0,0,1
store_BN,COMMON00017,40.5,0.0,100.5,79.1,0.3,200.4,158.1,0.3,419.6,289.9,0.3,811.4,1.0774142059058263,2.6504424778761067,0,0,1
store_BO,COMMON00017,59.1,4.0,123.0,116.7,6.0,246.1,243.7,10.3,523.4,463.4,14.7,1024.1,1.026695234234756,2.1045939294503695,0,0,1
store_BP,COMMON00017,41.5,3.1,83.5,83.1,6.5,165.8,177.2,12.4,351.2,359.6,27.4,707.5,0.9869985730141114,1.9108855047941344,0,0,1
store_BQ,COMMON00017,118.4,32.7,203.6,236.9,68.5,408.4,508.4,145.4,877.5,1020.7,293.3,1754.5,0.9922342030281022,1.4397246804326451,0,0,1
store_BR,COMMON00017,170.3,41.4,299.9,340.7,85.3,600.5,728.4,176.2,1280.3,1472.3,359.2,2582.5,0.9978905425993203,1.515579958819492,0,0,1
store_BS,COMMON00017,65.2,1.8,133.9,130.0,3.8,268.9,274.8,9.0,571.1,546.6,19.5,1135.9,1.0058623881518052,2.044743543106584,0,0,1
store_BT,COMMON00017,108.0,18.1,197.7,216.2,37.2,396.9,465.5,83.5,851.8,935.6,163.2,1708.4,0.9879554810184479,1.6501288659793814,0,0,1
store_CA,COMMON00017,52.9,2.3,105.0,106.0,3.6,211.0,228.3,7.8,452.9,462.6,20.0,913.1,0.9801741708356494,1.9487740805604201,0,0,1
store_CB,COMMON00017,78.7,11.9,145.2,156.9,25.3,290.2,332.2,53.3,618.3,657.7,97.8,1225.6,1.006222297988408,1.7002708396027686,0,0,1
store_CC,COMMON00017,102.4,37.1,169.5,205.5,72.1,341.4,445.0,161.0,733.0,903.6,333.5,1483.3,0.979591836734694,1.2851044709054145,0,0,1
store_CD,COMMON00017,54.2,0.9,118.3,107.4,0.9,235.7,225.1,0.9,502.2,433.6,0.9,982.9,1.0183503475919085,2.2260213143872116,0,0,1
store_CE,COMMON00017,94.0,12.8,178.6,188.6,25.1,354.3,406.4,58.9,759.2,826.8,128.3,1531.5,0.9840184241747507,1.7227552275522757,0,0,1
store_CI,COMMON00017,147.7,34.5,262.8,295.8,71.3,522.7,637.0,152.8,1115.4,1286.6,323.8,2250.5,0.9890624999999998,1.5109088055250355,0,0,1
store_CJ,COMMON00017,20.5,0.4,43.7,40.9,1.0,87.2,87.6,2.0,187.3,174.7,4.2,374.7,0.9697256385998108,2.1128848346636264,0,0,1
store_CK,COMMON00017,77.2,7.8,150.0,152.7,15.7,297.1,317.3,30.3,626.4,610.8,55.4,1227.9,1.0329601712680077,1.878071833648393,0,0,1
store_CL,COMMON00017,18.4,1.8,35.8,37.1,3.8,71.4,80.7,10.8,152.8,165.5,25.5,309.5,0.9421402969790066,1.7574257425742574,0,0,1
store_CM,COMMON00017,68.7,16.8,119.9,138.5,34.7,241.1,302.9,82.3,521.4,627.6,185.9,1063.2,0.9624994162424697,1.449174917491749,0,0,1
store_CN,COMMON00017,74.2,5.3,148.3,148.0,12.4,299.8,317.4,25.4,645.3,630.0,47.2,1289.4,0.9925093632958801,1.9524409448818898,0,0,1
store_CO,COMMON00017,42.9,8.6,77.4,86.1,18.8,155.6,186.3,40.3,334.3,380.3,88.0,676.6,0.9712474530224134,1.5772532188841202,0,0,1
store_CP,COMMON00017,22.9,0.3,46.6,46.1,0.7,94.3,99.7,2.8,202.9,203.1,7.0,409.7,0.9556266518291835,2.00501002004008,0,0,1
store_CQ,COMMON00017,180.1,27.0,335.2,357.6,55.1,666.1,759.2,110.1,1422.5,1472.8,189.0,2810.8,1.012670090339993,1.7284340840247596,0,0,1
store_CS,COMMON00017,62.7,11.5,114.8,125.1,22.8,229.7,267.0,47.4,487.5,530.6,92.7,967.3,0.9952380952380953,1.6476974915761886,0,0,1
store_CT,COMMON00017,80.6,15.0,146.1,161.4,30.3,292.2,348.5,68.6,627.6,703.4,140.4,1263.4,0.9827270879902459,1.6035570854847963,0,0,1
store_AA,COMMON00053,400.7,130.5,665.9,793.9,263.2,1333.5,1664.0,521.8,2827.2,3207.5,908.9,5543.3,1.03016539549233,1.3853734751517335,0,0,1
store_AB,COMMON00053,10.2,0.2,22.0,20.2,0.5,44.0,42.7,1.3,93.8,83.9,2.5,186.1,0.9565489215379805,2.1612149532710276,0,0,1
store_AC,COMMON00053,528.0,232.8,831.2,1048.7,456.1,1634.1,2216.0,932.4,3479.5,4311.1,1744.5,6844.1,1.0197643726260222,1.14936149090745,0,0,1
store_AD,COMMON00053,354.1,73.0,627.6,703.3,144.3,1255.4,1484.2,289.7,2659.4,2892.0,523.3,5254.0,1.020421885806501,1.5965101394596781,0,0,1
store_AE,COMMON00053,251.2,75.5,430.8,501.5,143.6,861.5,1069.3,307.4,1824.9,2131.1,612.4,3652.6,1.003983426812859,1.4190200112212457,0,0,1
store_AF,COMMON00053,47.6,1.8,99.8,94.4,2.9,198.1,198.8,5.5,419.9,385.2,10.8,825.1,1.0109018830525272,2.083459024635495,0,0,1
store_AG,COMMON00053,164.7,41.5,283.1,322.2,82.1,563.4,658.1,143.9,1178.3,1187.6,210.0,2224.2,1.0677010177842123,1.5715587967183224,0,0,1
store_AH,COMMON00053,57.8,3.8,116.8,115.0,7.4,231.6,243.6,16.0,495.0,476.5,25.7,977.7,1.0045185957594718,1.9655313910545753,0,0,1
store_AI,COMMON00053,397.4,68.5,739.4,780.0,123.9,1471.9,1596.7,215.0,3065.5,2947.4,320.9,5871.4,1.0646639101974475,1.7851327655310623,0,0,1
store_AJ,COMMON00053,341.2,117.3,563.0,682.6,232.5,1124.5,1460.3,506.9,2405.3,2944.6,1059.9,4823.5,0.9993068504651912,1.2999178307313066,0,0,1
store_BA,COMMON00053,152.2,21.6,289.6,301.3,42.4,574.9,632.6,85.1,1207.8,1210.6,141.7,2347.7,1.026251910455812,1.7744586691955113,0,0,1
store_BB,COMMON00053,123.0,17.7,226.6,243.4,32.6,456.5,504.1,56.2,962.5,972.9,101.2,1895.0,1.039524466856354,1.797500991669972,0,0,1
store_BC,COMMON00053,83.7,24.4,142.5,168.5,50.0,286.6,367.8,115.4,618.7,756.7,254.8,1255.4,0.9674063800277393,1.3680347920630607,0,0,1
store_BD,COMMON00053,52.7,0.9,111.4,105.0,1.4,223.5,221.5,2.8,476.7,438.2,3.7,953.5,1.0060451797645562,2.138537906137184,0,0,1
store_BE,COMMON00053,86.5,3.3,177.9,172.5,5.7,354.1,367.5,14.5,757.2,726.4,27.6,1509.6,1.0005783689994217,2.0204026115342764,0,0,1
store_BF,COMMON00053,67.0,2.9,132.6,132.0,6.1,263.2,274.5,11.4,555.7,509.3,13.7,1079.7,1.0347490347490347,1.9821558630735616,0,0,1
store_BG,COMMON00053,30.3,1.8,60.2,60.9,3.7,120.1,130.6,8.2,257.5,267.2,21.6,521.5,0.9719846022241232,1.907421576128539,0,0,1
store_BH,COMMON00053,395.8,172.8,618.2,785.8,347.5,1233.6,1660.9,706.5,2612.3,3223.2,1321.3,5125.2,1.0194637383771346,1.1473810957254666,0,0,1
store_BI,COMMON00053,143.4,30.3,251.4,287.0,61.2,507.0,616.7,137.0,1093.8,1243.5,289.5,2194.5,0.9917241061343045,1.551232166018158,0,0,1
store_BJ,COMMON00053,390.5,161.6,617.2,782.4,333.9,1239.4,1681.4,724.0,2665.0,3409.3,1488.8,5373.8,0.9935712589476541,1.1543264942016056,0,0,1
store_BK,COMMON00053,42.8,4.4,82.3,86.0,9.4,163.0,187.0,21.2,354.5,382.5,48.6,718.4,0.9654135338345865,1.7814003206841262,0,0,1
store_BL,COMMON00053,255.3,52.6,456.9,502.8,105.8,903.2,1043.9,198.9,1896.4,1950.3,318.1,3668.5,1.0451264276844563,1.6259578544061302,0,0,1
store_BM,COMMON00053,443.4,191.6,698.3,884.6,383.2,1391.9,1887.9,810.2,2972.3,3755.4,1593.8,5916.2,1.0049636227646699,1.145180084745763,0,0,1
store_BN,COMMON00053,25.7,0.0,58.9,51.2,0.0,117.4,108.5,0.0,250.7,217.0,0.0,503.5,0.9878283151825752,2.3084714548802947,0,0,1
store_BO,COMMON00053,107.4,6.8,235.4,210.0,13.2,464.8,428.3,23.7,972.3,772.6,26.4,1863.7,1.0672054585803716,2.214285714285714,0,0,1
store_BP,COMMON00053,154.8,39.8,270.8,311.0,84.8,541.0,671.8,183.5,1166.6,1378.4,402.6,2359.2,0.9831484461004321,1.4631641613335318,0,0,1
store_BQ,COMMON00053,271.8,103.7,443.7,544.1,205.1,885.1,1170.3,436.8,1902.6,2356.3,889.4,3828.9,0.9928041786901414,1.2523923444976077,0,0,1
store_BR,COMMON00053,20.1,2.1,39.4,40.5,4.6,79.2,86.7,9.0,169.1,177.7,20.7,342.1,0.9603440038222646,1.8444700460829493,0,0,1
store_BS,COMMON00053,29.0,0.5,61.7,58.0,0.8,123.8,124.0,2.2,265.5,248.2,2.8,528.5,0.9786276715410575,2.121676067687349,0,0,1
store_BT,COMMON00053,166.2,31.7,302.7,329.7,60.5,597.6,695.0,119.3,1277.0,1349.2,214.7,2512.3,1.020466639377814,1.665515753129046,0,0,1
store_CB,COMMON00053,11.2,2.8,19.1,22.5,6.1,38.4,49.0,14.3,83.1,99.5,30.6,167.8,0.923076923076923,1.40122199592668,0,0,1
store_CC,COMMON00053,84.6,23.5,147.4,170.1,46.3,294.3,370.2,104.0,638.5,757.6,225.0,1289.0,0.9715204409738172,1.4434242506076154,0,0,1
store_CD,COMMON00053,178.3,17.3,359.1,348.7,34.5,709.1,712.5,60.1,1481.6,1285.9,82.2,2834.8,1.0679844264749925,1.9948077462812237,0,0,1
store_CE,COMMON00053,48.5,1.7,97.2,97.5,4.2,197.4,210.1,8.4,420.2,429.6,23.9,846.6,0.9753971978279816,1.9590865842055187,0,0,1
store_CF,COMMON00053,24.4,1.2,48.9,48.9,2.9,98.1,105.0,6.7,212.4,212.6,14.3,426.6,0.9682539682539681,1.9571836346336824,0,0,1
store_CG,COMMON00053,66.0,5.0,131.8,131.0,9.7,265.2,276.7,20.1,563.8,536.5,35.7,1109.6,1.0112876040655805,1.9642341040462425,0,0,1
store_CH,COMMON00053,196.7,69.1,328.7,394.5,137.1,657.2,853.2,297.5,1418.8,1728.5,613.4,2849.8,0.9845830413454799,1.3140747685456462,0,0,1
store_CI,COMMON00053,8.2,2.4,14.0,16.3,4.9,28.0,35.2,10.6,60.0,69.9,20.5,119.5,0.919970082273747,1.3994334277620395,0,0,1
store_CJ,COMMON00053,17.4,0.1,38.1,34.7,0.1,76.8,73.3,0.2,162.7,147.2,0.3,326.0,0.9773450664669535,2.2138964577656677,0,0,1
store_CK,COMMON00053,31.9,2.7,61.9,64.1,5.4,123.4,139.6,12.5,268.7,284.7,29.9,541.4,0.9587257062712884,1.8339298496778813,0,0,1
store_CL,COMMON00053,35.0,1.6,76.1,69.6,3.2,151.8,146.8,5.9,324.7,290.2,11.4,648.5,1.0013351134846462,2.1701837985023826,0,0,1
store_CM,COMMON00053,36.0,2.7,71.1,72.1,5.8,142.0,154.3,12.0,304.5,315.7,28.2,616.3,0.9808373444737082,1.8944300518134713,0,0,1
store_CN,COMMON00053,75.8,7.1,150.4,152.1,14.6,301.5,325.0,30.1,642.6,667.7,72.3,1298.1,0.9904181184668989,1.8840356813288217,0,0,1
store_CO,COMMON00053,29.9,0.1,62.2,60.2,0.3,125.1,130.4,1.2,270.5,265.0,3.3,546.0,0.9605911330049262,2.06360153256705,0,0,1
store_CQ,COMMON00053,65.4,10.4,122.5,130.6,20.8,244.8,275.7,40.7,521.2,557.3,85.5,1049.2,1.0056896816853762,1.7422044960116028,0,0,1
store_CS,COMMON00053,72.3,18.0,128.0,144.6,36.2,254.4,309.6,76.7,545.1,623.9,153.4,1092.3,0.9912256649300795,1.5124313852114948,0,0,1
store_CT,COMMON00053,7.8,3.0,12.6,15.5,6.0,25.0,33.0,12.7,53.4,65.1,24.5,105.9,0.9285714285714285,1.229607250755287,0,0,1
store_AA,COMMON00046,134.9,36.4,232.8,265.8,67.5,466.0,551.4,123.5,982.6,1032.1,189.2,1895.0,1.04282622139765,1.557751586582049,0,0,1
store_AB,COMMON00046,274.3,56.0,494.4,537.5,103.0,972.1,1104.3,183.1,2039.6,2003.2,257.5,3879.8,1.0616557649881955,1.681003259688519,0,0,1
store_AC,COMMON00046,161.3,61.6,260.9,322.3,125.7,522.0,688.5,266.7,1108.0,1375.0,535.0,2217.1,0.9996901146575767,1.2217542840546034,0,0,1
store_AD,COMMON00046,237.2,51.9,423.0,473.9,98.6,844.0,1012.9,206.9,1812.1,2022.4,420.2,3618.8,1.000660919944314,1.584600197433366,0,0,1
store_AE,COMMON00046,280.8,68.9,494.2,555.7,127.9,980.0,1160.7,254.1,2062.6,2220.9,418.3,4036.3,1.0341398740470664,1.5579772570640937,0,0,1
store_AF,COMMON00046,142.6,13.9,281.4,281.3,26.1,559.5,584.3,48.6,1176.8,1106.5,79.2,2286.5,1.0405974070200188,1.930527036276523,0,0,1
store_AG,COMMON00046,200.5,54.1,343.4,395.9,111.8,682.7,827.3,218.9,1435.8,1565.5,353.2,2779.9,1.0349099292854562,1.4707517524776408,0,0,1
store_AH,COMMON00046,475.3,171.7,787.5,949.4,336.5,1562.5,2027.2,684.6,3348.3,4053.3,1391.0,6692.2,1.0033494237020983,1.3139150594386624,0,0,1
store_AI,COMMON00046,441.6,69.9,813.2,868.9,127.3,1620.4,1790.1,247.2,3408.7,3341.3,385.9,6598.3,1.0554745572312916,1.766003798458273,0,0,1
store_AJ,COMMON00046,213.4,61.6,367.6,425.9,124.0,733.3,909.9,264.9,1557.1,1812.8,529.4,3101.5,1.0018308999577485,1.4199999999999997,0,0,1
store_BA,COMMON00046,114.2,9.8,226.6,225.8,20.1,447.3,471.5,34.5,943.6,902.9,50.7,1847.6,1.0314616889959356,1.9276929601357082,0,0,1
store_BB,COMMON00046,258.0,36.7,488.6,509.2,64.8,974.0,1058.6,122.3,2058.4,2011.2,202.0,4005.3,1.0415545268597266,1.8287522433172763,0,0,1
store_BC,COMMON00046,40.7,7.1,74.2,81.9,14.4,148.1,176.6,31.7,318.7,364.5,75.0,651.5,0.9712058542793511,1.624221844934918,0,0,1
store_BD,COMMON00046,99.3,8.2,195.4,198.3,15.7,391.3,422.6,33.2,833.7,844.4,62.6,1662.9,0.9999328678839956,1.8937780932103145,0,0,1
store_BE,COMMON00046,10.5,2.6,18.4,21.2,5.2,36.8,46.0,12.2,79.4,93.7,26.1,161.1,0.9183673469387754,1.4577006507592192,0,0,1
store_BF,COMMON00046,183.8,40.8,326.4,365.4,76.8,652.5,772.7,153.7,1390.0,1511.4,277.4,2746.4,1.0154883147019282,1.5997670807453415,0,0,1
store_BG,COMMON00046,70.3,5.8,149.2,139.6,10.0,296.6,295.9,19.3,634.6,579.3,33.5,1253.2,1.0079816469913492,2.0787162162162165,0,0,1
store_BH,COMMON00046,109.1,35.5,182.7,218.0,69.4,364.6,466.1,147.9,784.4,933.7,295.0,1567.3,0.9967414806468313,1.365293865293865,0,0,1
